DATE,UBIT,DURATION,ACTIVITY & TOOL DESCRIPTION
2/14/2020,abhasin3,3 hours,"edited main.c using sublime text editor to implement mean. Fixed bugs in min, using -h with -r, and loading data into our 2-d buffer array."
2/15/2020,abhasin3,15 mins,tested a variety of usage commands in the command line to make sure edge cases have been covered.
