DATE,UBIT,DURATION,ACTIVITY & TOOL DESCRIPTION
2/10/20,nganzalo,20 mins,Met with team to discuss project and divide the work equally and create github repository.
2/10/20,nganzalo,10 mins,"Created git hub repositary, invited teamates, and made initial commit."
2/12/20,nganzalo,2 hours,"Read template code, became familiar with template code, and implmented calc_max & calc min."
2/14/20,nganzalo,2 hour,Implemented find_records function and tested all code to make sure they were all working properly.
